% Model,EigenRadiusSweep_Al&_DoubleZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 8 2025, 10:29"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.5435680443264626+0.21534593774550198i,2.5435680443264626,5.905772059031076
0.01905625,2.5E9,2.543806419711196+0.2149068128645735i,2.543806419711196,5.9183940839377
0.01905625,2.5E9,2.544562076351718+0.2161038241036466i,2.544562076351718,5.887360130960264
0.01905625,2.5E9,2.5451423141201226+0.2025449192260322i,2.5451423141201226,6.282908314475772
0.01905625,2.5E9,2.5457701957543413+0.2184002214591199i,2.5457701957543413,5.8282225602753295
0.01905625,2.5E9,2.550464767745086+0.19601734764133968i,2.550464767745086,6.50571186283922
0.01905625,2.5E9,2.5508967285572166+0.2087201955773047i,2.5508967285572166,6.110804758259315
0.01905625,2.5E9,2.55101331979162+0.2180601595472947i,2.55101331979162,5.849333791848241
0.01905625,2.5E9,2.5521390762299205+0.21675647121010364i,2.5521390762299205,5.8871116095909155
0.01905625,2.5E9,2.5535644725697937+0.19619056769108567i,2.5535644725697937,6.507867586658245
0.01905625,2.5E9,2.5545011591166165+0.18776001792949984i,2.5545011591166165,6.802569544054317
0.01905625,2.5E9,2.5545776007598673+0.18897908971278585i,2.5545776007598673,6.758889580435498
0.01905625,2.5E9,2.5549040747922223+0.18816024263345763i,2.5549040747922223,6.789170865838167
0.01905625,2.5E9,2.554983706574997+0.18798511857982036i,2.554983706574997,6.795707356723892
0.01905625,2.5E9,2.559229625495238+0.15825800997795395i,2.559229625495238,8.08562431011154
0.01905625,2.5E9,2.5593588040252104+0.15794505995449534i,2.5593588040252104,8.102053982449888
0.01905625,2.5E9,2.559922090982427+0.15972690853082133i,2.559922090982427,8.013434037285139
0.01905625,2.5E9,2.5604922214325834+0.1599755239298329i,2.5604922214325834,8.002762418067293
0.01905625,2.5E9,2.5679483152631057+0.14625638998012375i,2.5679483152631057,8.778926909149371
0.01905625,2.5E9,2.5686680139512705+0.22165781667822843i,2.5686680139512705,5.794219334209407
0.01905625,2.5E9,2.5694044515961902+0.14842216421233195i,2.5694044515961902,8.655730312355551
0.01905625,2.5E9,2.5694552615120694+0.1463017738131121i,2.5694552615120694,8.781353754447048
0.01905625,2.5E9,2.5697795758504496+0.19887289994381424i,2.5697795758504496,6.460859112972322
0.01905625,2.5E9,2.570563299752872+0.1487483794462631i,2.570563299752872,8.640643042035677
0.01905625,2.5E9,2.570823218568668+0.19859667906145692i,2.570823218568668,6.472472829651677
0.01905625,2.5E9,2.571601864861467+0.19506787013534696i,2.571601864861467,6.5915567311961025
0.01905625,2.5E9,2.5725312149306747+0.14316591545827695i,2.5725312149306747,8.984440209444935
0.01905625,2.5E9,2.572635146412159+0.14364783942949247i,2.572635146412159,8.954660079224166
0.01905625,2.5E9,2.5728085034726473+0.14321167333952306i,2.5728085034726473,8.982537678241808
0.01905625,2.5E9,2.572848468376411+0.14269809049479762i,2.572848468376411,9.015006646042716
0.01905625,2.5E9,2.5734438417422383+0.19466443312060808i,2.5734438417422383,6.6099487217262025
0.01905625,2.5E9,2.576213702396061+0.22064066560919537i,2.576213702396061,5.838030118525657
0.01905625,2.5E9,2.5765010748540074+0.1282490049538553i,2.5765010748540074,10.044916433390835
0.01905625,2.5E9,2.5765412110381782+0.12869095502593758i,2.5765412110381782,10.010576153230339
0.01905625,2.5E9,2.576543148474211+0.1293656119764014i,2.576543148474211,9.958377304102342
0.01905625,2.5E9,2.5766073644555365+0.1274004075125485i,2.5766073644555365,10.112241454964536
0.01905625,2.5E9,2.5797622996013523+0.17263970436918888i,2.5797622996013523,7.471520844604053
0.01905625,2.5E9,2.579932985068087+0.1748976292975161i,2.579932985068087,7.37555161676719
0.01905625,2.5E9,2.580590012408177+0.17230984029418453i,2.580590012408177,7.488225884262724
0.01905625,2.5E9,2.5809820701544823+0.17469737913505073i,2.5809820701544823,7.3870085599831485
0.01905625,2.5E9,2.5872029728574932+0.22138369443517783i,2.5872029728574932,5.843255483332443
0.01905625,2.5E9,2.5914927120537326+0.16720684534483418i,2.5914927120537326,7.74936189576821
0.01905625,2.5E9,2.5917833943054136+0.16604216317013346i,2.5917833943054136,7.804594160971536
0.01905625,2.5E9,2.59244541239599+0.023403232787273603i,2.59244541239599,55.38648091826295
0.01905625,2.5E9,2.5925408791330886+0.023249021407298266i,2.5925408791330886,55.75591406009128
0.01905625,2.5E9,2.5928444864768747+0.21684784800110143i,2.5928444864768747,5.978487936075125
0.01905625,2.5E9,2.593178272888354+0.2157553304565243i,2.593178272888354,6.009534659934835
0.01905625,2.5E9,2.593293233502051+0.16890249002910365i,2.593293233502051,7.676894618472469
0.01905625,2.5E9,2.5935908418068716+0.21641944704721486i,2.5935908418068716,5.992046641818294
0.01905625,2.5E9,2.593933564352477+0.21514809401948032i,2.593933564352477,6.028251321895541
0.01905625,2.5E9,2.5943495463028126+0.16765277803291512i,2.5943495463028126,7.737269780860614
0.01905625,2.5E9,2.596861384049314+0.20945464475639478i,2.596861384049314,6.199101927459239
0.01905625,2.5E9,2.596880035883909+0.21217234492926693i,2.596880035883909,6.119742035065045
0.01905625,2.5E9,2.603323903128412+0.17749808869596964i,2.603323903128412,7.333385734613614
0.01905625,2.5E9,2.6041583649254836+0.1757460362796279i,2.6041583649254836,7.408867989437984
0.01905625,2.5E9,2.6196091438827827+0.19474399153799038i,2.6196091438827827,6.725776552063104
0.01905625,2.5E9,2.619837831683702+0.19519264650231832i,2.619837831683702,6.710902994116086
0.01905625,2.5E9,2.6215479151027785+0.19440989240985457i,2.6215479151027785,6.742321294988519
0.01905625,2.5E9,2.6220283256769457+0.19407778668276043i,2.6220283256769457,6.755096424205707
0.01905625,2.5E9,2.623441475533031+0.03622821065085931i,2.623441475533031,36.20716326312413
0.01905625,2.5E9,2.6276028815301586+0.1986693082021823i,2.6276028815301586,6.613006571845745
0.01905625,2.5E9,2.6287227748859263+0.19963403658036943i,2.6287227748859263,6.583854186176428
0.01905625,2.5E9,2.629374892630828+0.18110489796439438i,2.629374892630828,7.259259473887251
0.01905625,2.5E9,2.6295152725211377+0.18169980211773248i,2.6295152725211377,7.235878195446086
0.01905625,2.5E9,2.6303197593341636+0.18343877783516346i,2.6303197593341636,7.169475806521527
0.01905625,2.5E9,2.6304383283675357+0.184229609899433i,2.6304383283675357,7.139021598654623
0.01905625,2.5E9,2.640649914999279+0.16704299111086068i,2.640649914999279,7.904102702659252
0.01905625,2.5E9,2.640765934725004+0.16805171490994542i,2.640765934725004,7.8570038280779295
0.01905625,2.5E9,2.640908954117268+0.16841767524140117i,2.640908954117268,7.840355682180999
0.01905625,2.5E9,2.6409737671618174+0.16737221873562133i,2.6409737671618174,7.8895224879986205
0.01905625,2.5E9,2.6434385784072765+0.19064327263950012i,2.6434385784072765,6.93294481837271
0.01905625,2.5E9,2.6606270221900292+0.03481498044871814i,2.6606270221900292,38.210950974237754
0.01905625,2.5E9,2.6607979158188693+0.03496682700644019i,2.6607979158188693,38.04746017316361
0.01905625,2.5E9,2.670138128709397+0.049833814074936165i,2.670138128709397,26.790425118718122
0.01905625,2.5E9,2.6710690707038003+0.15608992997563065i,2.6710690707038003,8.556186395627245
0.01905625,2.5E9,2.67242584232147+0.15757779611721995i,2.67242584232147,8.479703067853194
0.01905625,2.5E9,2.6746850726414872+0.15598257433885934i,2.6746850726414872,8.573666270024988
0.01905625,2.5E9,2.6748683862091607+0.0524952432904581i,2.6748683862091607,25.477245351631346
0.01905625,2.5E9,2.675158685601311+0.052795052284874314i,2.675158685601311,25.335316188026
0.01905625,2.5E9,2.675481765790878+0.15838012231344034i,2.675481765790878,8.446393798383351
0.01905625,2.5E9,2.680134380419103+0.14084182133538023i,2.680134380419103,9.51469654044384
0.01905625,2.5E9,2.680214170818886+0.141516629121771i,2.680214170818886,9.469608580461022
0.01905625,2.5E9,2.680547700966821+0.14133687642632556i,2.680547700966821,9.48283197118802
0.01905625,2.5E9,2.6805866855122455+0.1408046320558892i,2.6805866855122455,9.518815703620628
0.01905625,2.5E9,2.686923600807263+5.615267632572721E-4i,2.686923600807263,2392.5160621206287
0.01905625,2.5E9,2.6870041904795716+0.1446554317017376i,2.6870041904795716,9.287602127585005
0.01905625,2.5E9,2.6878666482958473+0.1269135754393183i,2.6878666482958473,10.589358305412361
0.01905625,2.5E9,2.6878801351685273+5.62832547655239E-4i,2.6878801351685273,2387.8151204707683
0.01905625,2.5E9,2.6879787525742316+0.12835267549353646i,2.6879787525742316,10.471066311000243
0.01905625,2.5E9,2.6885255221080193+0.14432308653922787i,2.6885255221080193,9.314260062534284
0.01905625,2.5E9,2.6892030313900466+0.1281728532172502i,2.6892030313900466,10.490532760599104
0.01905625,2.5E9,2.689429815222761+0.12696998378354263i,2.689429815222761,10.590809477489099
0.01905625,2.5E9,2.703254888139838+0.02909801269902772i,2.703254888139838,46.45085071789395
0.01905625,2.5E9,2.703270865901045+0.02921305556283923i,2.703270865901045,46.26819779406728
0.01905625,2.5E9,2.7091617234712304+0.03516484661479729i,2.7091617234712304,38.52088071288816
0.01905625,2.5E9,2.7100224590073907+0.03521066079752067i,2.7100224590073907,38.482982108620554
0.01905625,2.5E9,2.7101377527227486+0.0473686607088526i,2.7101377527227486,28.60686487824067
0.01905625,3.0E9,2.8046834842907584+0.013218520320057521i,2.8046834842907584,106.08916188731756
0.01905625,3.0E9,2.8052713969247556+0.01323127214423895i,2.8052713969247556,106.00913375310641
0.01905625,3.0E9,2.866603462916494+0.0355687203777278i,2.866603462916494,40.2966909193546
0.01905625,3.0E9,2.8674656938790317+0.035141025088101956i,2.8674656938790317,40.79940307219294
0.01905625,3.0E9,2.8719649659926585+1.303470688806522E-4i,2.8719649659926585,11016.60739537716
0.01905625,3.0E9,2.8731127275595174+1.3773962817738568E-4i,2.8731127275595174,10429.506619037144
0.01905625,3.0E9,2.896116745776614+0.1373002348065991i,2.896116745776614,10.546656201484579
0.01905625,3.0E9,2.896223408061871+0.13833649020007496i,2.896223408061871,10.468038490325606
0.01905625,3.0E9,2.897317293129044+0.13804732415751428i,2.897317293129044,10.493927755612113
0.01905625,3.0E9,2.8974228397550643+0.13729599666184022i,2.8974228397550643,10.551738252395701
0.01905625,3.0E9,2.897521274061262+0.027220164716915917i,2.897521274061262,53.22380125533558
0.01905625,3.0E9,2.8979341421597726+0.027345954387385556i,2.8979341421597726,52.98652409616692
0.01905625,3.0E9,2.901988772333611+0.15228359040206343i,2.901988772333611,9.52823861281343
0.01905625,3.0E9,2.9034006153970773+0.15485951526408398i,2.9034006153970773,9.374304867369208
0.01905625,3.0E9,2.904034175945435+0.1536669887161869i,2.904034175945435,9.44911525958578
0.01905625,3.0E9,2.9055991726491+0.1564919393178617i,2.9055991726491,9.283542607096633
0.01905625,3.0E9,2.9075203116770063+0.016076892566355767i,2.9075203116770063,90.425444459385
0.01905625,3.0E9,2.908877259542655+0.016114954395620777i,2.908877259542655,90.2539711912911
0.01905625,3.0E9,2.912312655756359+0.12635336614290074i,2.912312655756359,11.524475938625356
0.01905625,3.0E9,2.9127620450317906+0.1260764189943384i,2.9127620450317906,11.551573514959175
