% Model,EigenRadiusSweep_Al&ZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 3 2025, 11:13"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.504626493721424+0.2091772468825684i,2.504626493721424,5.986852133892735
0.01905625,2.5E9,2.5047063037192903+0.21254519441693268i,2.5047063037192903,5.892173451840108
0.01905625,2.5E9,2.504779649967464+0.22039516861098923i,2.504779649967464,5.682474043676863
0.01905625,2.5E9,2.5048299748176817+0.21916466183629954i,2.5048299748176817,5.714493280601531
0.01905625,2.5E9,2.5140809906167307+0.21666912287103562i,2.5140809906167307,5.801659593446423
0.01905625,2.5E9,2.518060505173343+0.21723079851643964i,2.518060505173343,5.795818370070532
0.01905625,2.5E9,2.519020552933728+0.2206864318543489i,2.519020552933728,5.7072392982371
0.01905625,2.5E9,2.5200712467318334+0.06008051028038518i,2.5200712467318334,20.97245208946382
0.01905625,2.5E9,2.520650753269928+0.05990107536191235i,2.520650753269928,21.040112702823574
0.01905625,2.5E9,2.521245995445088+0.20401660418265544i,2.521245995445088,6.1790215692145924
0.01905625,2.5E9,2.5220194557346045+0.20285501254267885i,2.5220194557346045,6.216310418269784
0.01905625,2.5E9,2.524710808892588+0.18766920622086208i,2.524710808892588,6.726491947542353
0.01905625,2.5E9,2.5248352298274384+0.18830059410565414i,2.5248352298274384,6.704267827245333
0.01905625,2.5E9,2.5254696479768923+0.19052710037643475i,2.5254696479768923,6.627586424679703
0.01905625,2.5E9,2.525646290040884+0.1900762837244632i,2.525646290040884,6.6437701762469485
0.01905625,2.5E9,2.527269519509891+1.0951419101222058E-4i,2.527269519509891,11538.548092036199
0.01905625,2.5E9,2.528209407988924+1.0964634880347261E-4i,2.528209407988924,11528.926569732037
0.01905625,2.5E9,2.535031770341609+0.19870698537861384i,2.535031770341609,6.378818956745257
0.01905625,2.5E9,2.535071792227101+0.19956103976483405i,2.535071792227101,6.351620023664114
0.01905625,2.5E9,2.5360007952069936+0.21337252927547173i,2.5360007952069936,5.942660013025679
0.01905625,2.5E9,2.536676777136049+0.21196109638212313i,2.536676777136049,5.983826325758696
0.01905625,2.5E9,2.5387796518750068+0.2040209720179669i,2.5387796518750068,6.221859514646935
0.01905625,2.5E9,2.5394445215745027+0.20379865817913423i,2.5394445215745027,6.230277824848068
0.01905625,2.5E9,2.540761275717571+0.1723829139227097i,2.540761275717571,7.369527576430099
0.01905625,2.5E9,2.5408330499427363+0.17210465499839162i,2.5408330499427363,7.381651152801421
0.01905625,2.5E9,2.5414302100719905+0.17241132204120996i,2.5414302100719905,7.3702532408647015
0.01905625,2.5E9,2.5417333642641466+0.17237007488545616i,2.5417333642641466,7.372896269706869
0.01905625,2.5E9,2.5432976479716745+0.2149512459164491i,2.5432976479716745,5.91598722102836
0.01905625,2.5E9,2.543723800789435+0.21635037068421892i,2.543723800789435,5.87871375663647
0.01905625,2.5E9,2.544088385780335+0.2106971247833191i,2.544088385780335,6.0373115874188485
0.01905625,2.5E9,2.5457373961744696+0.2104561740399482i,2.5457373961744696,6.0481413952038405
0.01905625,2.5E9,2.548150586647733+0.1966383948258252i,2.548150586647733,6.47928037885172
0.01905625,2.5E9,2.5500144394983804+0.2031416389492669i,2.5500144394983804,6.276444486438419
0.01905625,2.5E9,2.5508130595357175+0.20011565158774489i,2.5508130595357175,6.373347210218738
0.01905625,2.5E9,2.551006502242375+0.21593124195134317i,2.551006502242375,5.906987981890101
0.01905625,2.5E9,2.5514858812405166+0.21712842802632507i,2.5514858812405166,5.875522391133347
0.01905625,2.5E9,2.5541650879838134+0.18855432698811975i,2.5541650879838134,6.773021677048928
0.01905625,2.5E9,2.554280416109236+0.18749366609110887i,2.554280416109236,6.811644546083048
0.01905625,2.5E9,2.5546128982859138+0.20771796037520168i,2.5546128982859138,6.149234504497125
0.01905625,2.5E9,2.5549496335738877+0.18901553278314903i,2.5549496335738877,6.758570568126515
0.01905625,2.5E9,2.555176867563713+0.18806358938904477i,2.555176867563713,6.793385354030043
0.01905625,2.5E9,2.5593009890641976+0.15814905929429088i,2.5593009890641976,8.091420209783655
0.01905625,2.5E9,2.5596928758195427+0.15794087065089768i,2.5596928758195427,8.103326470440075
0.01905625,2.5E9,2.5597554564593703+0.15989404707537255i,2.5597554564593703,8.004536451731456
0.01905625,2.5E9,2.5600923136648945+0.15933972276602157i,2.5600923136648945,8.033440341251875
0.01905625,2.5E9,2.5646910128747975+0.21628872634007354i,2.5646910128747975,5.9288596689091895
0.01905625,2.5E9,2.568772044332234+0.14667565912077105i,2.568772044332234,8.75664053507725
0.01905625,2.5E9,2.569016047254473+0.14589829066315205i,2.569016047254473,8.804133467148638
0.01905625,2.5E9,2.5695777596651843+0.14908128563721473i,2.5695777596651843,8.61804266270611
0.01905625,2.5E9,2.5698091928132336+0.1993337249672919i,2.5698091928132336,6.445997016397767
0.01905625,2.5E9,2.5699631942125563+0.148080246491136i,2.5699631942125563,8.67760303993819
0.01905625,2.5E9,2.5713157321868985+0.19752095209119366i,2.5713157321868985,6.508969567440483
0.01905625,2.5E9,2.5716530745443666+0.19530524216559325i,2.5716530745443666,6.58367652099154
0.01905625,2.5E9,2.5720929539687587+0.14303103108045565i,2.5720929539687587,8.991380872175718
0.01905625,2.5E9,2.5726009242625887+0.14362743428855201i,2.5726009242625887,8.95581313210035
0.01905625,2.5E9,2.573574022393323+0.19362254241452329i,2.573574022393323,6.645853293475512
0.01905625,2.5E9,2.5735953899992015+0.14288599304003957i,2.5735953899992015,9.005765139197468
